,Brand,Product Type,Product Name,Description,Price,Sales Price,Color,Material,Product URL,Picture URL,Timestamp,Gender,New Arrival
125,Kowtow,none,CALDER DRESS,"A versatile shirt dress featuring a curved, circular sleeve that is finished with a visible french seam and a narrow button cuff. The dress has side seam pockets, a gathered waistline and a relaxed, off the body fit. It also comes with a detachable pleated collar, which can be tied in a large statement bow, or removed ",US$ 295,US$ 149,BLUE AND WHITE CHECK,"['poplin', 'fairganic', 'agoya', 'seed-to-garment']",https://us.kowtowclothing.com/products/calder-dress-blue-and-white-check,//cdn.shopify.com/s/files/1/2182/6091/products/calder_dress-blue___white_check-lookbook-0031_grande.jpg?v=1629795889,2022-03-15 21:54:29.472051,unisex,False
126,Kowtow,none,CULOTTES,"Pleated, wide leg culottes made from lightweight organic cotton poplin. A pull on style that is finished with a wide elastic waistband and side seam pockets.",US$ 189,US$ 129,BLUE AND WHITE CHECK,"['poplin', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/culottes-blue-and-white-check,//cdn.shopify.com/s/files/1/2182/6091/products/culottes-blue___white_check-lookbook_0015_grande.jpg?v=1629795755,2022-03-15 21:54:29.764042,unisex,False
127,Kowtow,none,FORM TOP,"A sleeveless top with a pleated waistline, made from lightweight organic cotton poplin. The top has an oversized fit and fastens at the centre front with natural ayoya shell buttons.",US$ 175,US$ 109,BLUE AND WHITE CHECK,"['poplin', 'fairganic', 'agoya', 'seed-to-garment""']",https://us.kowtowclothing.com/products/form-top-blue-and-white-check,//cdn.shopify.com/s/files/1/2182/6091/products/form_top-blue___white_check-lookbook-0001_grande.jpg?v=1629795693,2022-03-15 21:54:30.050935,unisex,False
128,Kowtow,none,CALDER SHIRT,"A versatile shirt featuring a curved, circular sleeve that is finished with a visible french seam and a narrow button cuff. It comes with a detachable pleated collar, which can be tied in a large statement bow, or removed for a more classic look.",US$ 205,US$ 99,BLUE AND WHITE CHECK,"['poplin', 'fairganic', 'agoya', 'seed-to-garment""']",https://us.kowtowclothing.com/products/calder-shirt-blue-and-white-check,//cdn.shopify.com/s/files/1/2182/6091/products/calder_shirt-blue___white_check-lookbook-0010_grande.jpg?v=1629795749,2022-03-15 21:54:30.617789,unisex,False
129,Kowtow,none,BOW HAIR TIE,"An elastic scrunchie with an oversized bow, made from organic cotton popin.",US$ 49,US$ 29,BLUE AND WHITE CHECK,"['fairganic', 'seed-to-garment""']",https://us.kowtowclothing.com/products/bow-hair-tie-blue-and-white-check,//cdn.shopify.com/s/files/1/2182/6091/products/bow_hair_tie-blue___white_check-lookbook-0018_grande.jpg?v=1629930659,2022-03-15 21:54:30.924367,unisex,False
130,Kowtow,none,CALDER SHIRT,"A versatile shirt featuring a curved, circular sleeve that is finished with a visible french seam and a narrow button cuff. It comes with a detachable pleated collar, which can be tied in a large statement bow, or removed for a more classic look.",US$ 189,US$ 89,WHITE,"['poplin', 'fairganic', 'agoya', 'seed-to-garment""']",https://us.kowtowclothing.com/products/calder-shirt-white,//cdn.shopify.com/s/files/1/2182/6091/products/calder_shirt-white-lookbook-0009_grande.jpg?v=1629795742,2022-03-15 21:54:31.181309,unisex,False
131,Kowtow,none,FORM TOP,"A sleeveless top with a pleated waistline, made from lightweight organic cotton poplin. The top has an oversized fit and fastens at the centre front with natural ayoya shell buttons.",US$ 169,US$ 99,WHITE,"['poplin', 'fairganic', 'agoya', 'seed-to-garment""']",https://us.kowtowclothing.com/products/form-top-white,//cdn.shopify.com/s/files/1/2182/6091/products/form_top-white-lookbook-0010_grande.jpg?v=1629795688,2022-03-15 21:54:31.481758,unisex,False
132,Kowtow,none,OVERSIZED BOXY TEE,"A short sleeve tee with an oversized boxy fit and a ribbed crew neck, made from heavyweight organic cotton rugby knit jersey. To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the seam. A signifier that it, and its wearer are part of the movement t",US$ 99,US$ 69,RED STRIPE,"['300gsm', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/building-block-oversized-boxy-tee-red-stripe,//cdn.shopify.com/s/files/1/2182/6091/products/oversized_boxy_tee-red_stripe-lookbook-0051_grande.jpg?v=1629930668,2022-03-15 21:54:31.896470,unisex,False
133,Kowtow,none,BRETON SWEATER,"A lightweight sweater featuring a wide boat neckline and a classic breton stripe. It has a relaxed fit, and is made from organic cotton rugby knit jersey. To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the seam. A signifier that it, and its wear",US$ 115,US$ 69,RED STRIPE,"['300gsm', 'fairganic', 'seed-to-garment""']",https://us.kowtowclothing.com/products/building-block-breton-sweater-red-stripe,//cdn.shopify.com/s/files/1/2182/6091/products/breton_sweater-red_stripe-lookbook-0003_grande.jpg?v=1629795730,2022-03-15 21:54:32.173655,unisex,False
134,Kowtow,none,TEE DRESS,"An oversized t-shirt dress with a drop shoulder and wide ribbed neckline, made from heavyweight organic cotton rugby knit jersey. The dress also features a large patch pocket on the front chest. To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the",US$ 125,US$ 59,RED STRIPE,"['300gsm', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/building-block-tee-dress-red-stripe,//cdn.shopify.com/s/files/1/2182/6091/products/tee_dress-red_stripe-lookbook-0003_grande.jpg?v=1629795813,2022-03-15 21:54:32.445539,unisex,False
